Items,Work Scheduling Autonomy,Decision Making Autonomy,Work Methods Autonomy,Task Variety,Task Significance,Task Identity,Feedback from Job,Job Complexity,Information Processing,Problem Solving,Skill Variety,Specialization,Social Support,Initiated Interdependence ,Received Interdependence,Interaction Outside Research Group,Feedback from Others,Faculty/projecdt leader feedback,Peer Feedback,Ergonomics,Physical Demands,Work Conditions,Equipment Use
Fake Case 12,3.00,3.33,2.67,4.25,3.50,2.25,2.67,2.25,1.75,3.25,2.75,2.25,1.83,2.33,4.00,3.25,1.33,2.00,1.00,2.67,2.33,2.40,4.00
Fake Case 13,3.67,3.00,3.33,6.75,5.75,4.00,3.67,5.00,4.75,6.00,5.25,5.25,2.50,2.33,4.33,5.00,3.67,6.00,1.67,3.00,4.67,4.80,3.00
Fake Case 14,3.33,4.67,4.67,6.25,5.25,4.00,4.00,3.75,3.75,4.75,4.25,4.75,2.50,3.00,5.67,3.75,2.00,2.00,1.67,3.00,5.67,4.80,2.67
Fake Case 15,2.33,4.00,4.67,7.00,6.25,5.25,3.00,4.25,4.00,5.50,5.25,5.25,2.83,5.00,4.33,3.50,3.67,2.00,2.00,4.00,6.33,5.00,3.67
Fake Case 16,1.00,3.00,4.00,4.00,5.00,2.50,4.00,2.75,2.75,3.25,5.25,3.75,1.17,2.00,3.33,2.75,1.00,1.00,1.00,1.67,3.33,3.00,1.00
Fake Case 17,3.00,4.67,3.67,6.25,7.00,4.75,4.00,5.75,4.25,6.25,5.25,4.75,2.50,4.33,4.33,5.00,3.67,3.33,2.67,4.00,6.33,5.00,3.67
Fake Case 18,3.00,2.00,3.00,4.00,4.25,3.25,2.33,2.75,2.25,3.25,2.25,2.50,1.17,2.00,3.33,2.75,1.00,1.00,1.00,1.67,3.33,3.00,1.00
Fake Case 19,2.00,2.33,2.00,3.75,3.50,4.75,2.67,3.00,3.00,4.00,3.50,3.00,1.67,2.00,4.67,4.00,2.33,1.67,1.33,2.00,4.00,3.60,4.33
Fake Case 20,2.00,5.00,2.67,6.50,5.75,5.00,4.33,4.75,2.25,5.25,3.75,3.75,2.00,4.67,6.00,5.00,2.67,2.00,2.33,4.67,5.33,5.00,4.33
Fake Case 21,2.67,4.33,4.33,6.75,6.50,5.25,4.67,4.25,3.75,3.75,4.50,3.25,3.00,4.33,6.67,5.50,3.33,3.67,4.33,4.00,6.00,4.80,4.67
Fake Case 22,2.33,1.33,4.00,3.75,5.00,3.50,2.00,2.25,1.75,0.25,2.00,1.75,2.00,2.67,3.67,4.25,0.67,2.00,2.67,1.67,3.00,3.00,3.00
Fake Case 23,2.00,5.00,2.67,6.50,5.75,4.50,5.00,4.75,2.25,5.25,3.75,3.75,2.00,4.67,6.00,5.00,2.67,2.00,2.33,4.67,5.33,5.40,2.67
Fake Case 24,2.33,3.00,3.67,5.75,5.25,4.25,5.00,4.75,3.75,5.00,4.00,4.25,2.50,3.33,5.33,5.00,3.00,2.67,2.33,3.00,5.00,4.60,3.33
Fake Case 25,3.00,4.67,3.67,6.25,5.75,4.25,5.67,5.50,4.25,5.25,4.50,5.50,2.50,5.00,6.33,5.25,4.00,3.33,3.00,3.67,5.67,6.20,4.00
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fake Case 26,1.67,2.00,2.33,5.25,3.75,3.50,2.67,4.25,2.75,4.00,3.00,3.25,2.00,2.67,5.00,4.50,2.00,2.00,1.67,2.33,3.33,4.20,2.33
Fake Case 27,4.00,2.67,4.00,6.50,6.25,4.75,4.67,6.25,4.75,5.25,4.50,4.00,3.67,4.33,6.33,5.75,4.67,5.33,3.33,3.00,5.67,5.20,4.00
Fake Case 28,2.00,2.67,2.67,5.75,5.75,4.00,4.33,5.25,3.75,4.50,3.50,3.50,3.17,4.33,6.33,5.00,3.67,2.00,1.33,3.00,6.00,4.80,3.00
Fake Case 29,3.67,3.67,4.67,5.50,6.50,5.00,4.67,5.50,5.75,4.25,4.00,4.25,2.67,4.00,7.00,5.50,3.67,3.00,2.33,3.67,6.00,5.80,3.33
Fake Case 30,3.67,3.00,2.67,4.00,3.50,2.25,2.67,3.25,3.25,3.00,2.75,3.00,2.33,2.33,4.00,3.00,1.00,2.00,1.00,4.33,3.33,3.20,2.00
Fake Case 31,2.67,4.00,5.67,6.50,5.75,5.25,3.67,5.25,5.50,5.00,3.75,4.25,3.67,4.00,6.33,5.00,4.00,6.00,2.33,5.00,5.67,4.40,3.00
Fake Case 32,2.00,5.33,5.33,6.25,4.25,3.75,4.00,4.75,3.25,5.00,3.00,3.50,1.67,2.33,5.67,4.25,2.67,2.00,2.33,5.00,5.67,4.40,2.67
Fake Case 33,2.33,5.33,4.33,7.00,3.50,4.75,5.00,5.75,3.50,5.00,5.00,4.00,2.17,2.67,6.00,5.00,3.67,3.33,4.33,4.00,6.33,4.20,3.67
Fake Case 34,1.00,1.67,3.00,3.50,4.00,2.50,2.00,2.75,1.75,4.00,2.75,2.50,1.33,2.67,3.00,2.75,1.00,1.00,3.00,1.67,3.33,2.80,2.00
Fake Case 35,3.67,3.00,5.67,5.25,5.00,4.75,4.67,4.75,4.25,5.75,4.75,4.75,3.83,4.33,4.00,5.75,4.67,5.33,5.00,3.00,3.67,4.60,6.00
Fake Case 36,1.67,2.67,4.00,5.25,5.00,4.00,4.33,4.00,3.25,5.25,4.25,4.25,2.33,4.33,4.00,5.00,3.67,2.00,3.00,3.00,2.67,3.80,3.00
Fake Case 37,1.67,3.67,4.67,5.00,6.50,4.00,4.67,3.50,4.75,4.50,5.25,5.25,2.67,4.00,6.33,4.00,3.67,4.33,2.33,3.67,4.33,4.00,5.00
Fake Case 38,3.00,3.33,3.33,5.50,3.50,2.25,2.67,2.00,1.75,4.00,3.75,2.25,2.00,2.33,4.00,2.25,1.33,3.00,1.00,3.00,2.33,2.40,3.00
Fake Case 39,2.67,3.00,3.67,6.25,5.75,4.00,3.33,5.00,4.25,5.50,6.00,5.25,2.67,2.33,4.33,4.50,3.67,7.00,1.67,3.67,4.67,4.20,3.00
Fake Case 40,3.33,3.00,4.67,4.50,5.25,4.00,3.67,3.75,3.50,5.00,5.25,4.75,2.17,3.00,5.67,3.75,1.67,3.67,1.67,2.67,5.67,4.40,2.67
Fake Case 41,2.33,2.00,4.67,6.00,6.25,5.25,2.00,4.25,3.75,5.50,5.25,6.00,2.83,3.33,4.33,4.25,5.00,2.00,2.00,4.33,6.33,5.00,3.67
Fake Case 42,1.00,2.00,4.00,3.75,5.00,2.75,3.00,2.75,3.25,3.25,5.25,4.00,1.17,1.67,3.33,2.75,3.00,1.00,2.33,1.67,3.33,3.00,1.00
Fake Case 43,3.00,4.67,3.00,6.25,5.25,3.75,4.00,5.75,4.25,6.25,5.25,5.50,2.50,4.33,4.33,5.50,2.67,3.33,2.33,4.00,5.33,4.60,3.67
Fake Case 44,3.00,2.00,3.00,3.25,4.25,2.25,2.33,2.75,2.75,3.25,2.25,3.25,1.17,2.00,3.33,3.75,2.33,1.67,1.00,1.67,3.33,2.80,1.00
Fake Case 45,2.00,2.33,2.00,2.50,4.00,3.50,2.67,3.25,3.50,4.00,3.50,4.50,2.17,2.00,3.00,4.75,2.33,2.33,1.33,2.00,4.00,3.00,2.33
Fake Case 46,2.00,5.00,2.67,5.25,5.25,3.50,4.33,4.50,2.25,5.25,3.75,3.75,3.00,4.67,4.67,5.75,2.67,3.67,1.00,4.33,5.33,3.80,2.67
Fake Case 47,2.67,4.33,4.33,5.25,5.75,5.25,4.00,4.00,3.75,3.75,4.50,3.25,3.83,4.33,6.67,3.75,3.33,3.67,3.00,3.67,6.00,4.20,3.33
Fake Case 48,2.33,1.33,4.00,3.00,4.75,3.00,2.33,3.75,1.75,0.25,2.00,1.75,2.50,2.67,4.67,3.50,1.33,2.00,3.67,1.67,2.33,3.20,3.00
Fake Case 49,2.00,5.00,2.67,6.50,3.50,5.25,4.00,4.75,2.25,5.25,3.75,3.75,3.00,4.67,6.33,5.00,2.67,2.00,3.67,3.33,4.00,5.00,2.67
Fake Case 50,2.33,3.00,3.67,5.75,3.75,3.25,5.33,4.75,3.75,5.00,4.00,4.25,3.50,4.00,5.33,4.50,3.00,2.67,2.33,2.00,4.33,4.20,3.33
