Items,,,,,,,,,,,,,work scheduling autonomy 1,work scheduling autonomy 2,work scheduling autonomy 3,decision making autonomy 1,decision making autonomy 2,decision making autonomy 3,work methods autonomy 1,work methods autonomy 2,work methods autonomy 3,task variety 1,task variety 2,task variety 3,task variety 4,task significance 1,task significance 2,task significance 3,task significance 4,task identity 1,task identity 2,task identity 3,task identity 4,feedback from job 1,feedback from job 2,feedback from job 3,job complexity 1,job complexity 2,job complexity 3,job complexity 4,information processing 1,information processing 2,information processing 3,information processing 4,problem solving 1,problem solving 2,problem solving 3,problem solving 4,skill variety 1,skill variety 2,skill variety 3,skill variety 4,specialization 1,specialization 2,specialization 3,specialization 4,social support 1,social support 2,social support 3,social support 4,social support 5,social support 6,initiated interdependence 1,initiated interdepenence 2,initiated interdependence 3,received interdependence 1,received interdependence 2,received interdependence 3,interaction outside research group 1,interaction outside research group 2,interaction outside research group 3,interaction outside research group 4,feedback from others 1,feedback from others 2,feedback from others 3,faculty/project leader feedback 1,faculty/projecdt leader feedback 2,faculty/project leader feedback 3,peer feedback 1,peer feedback 2,peer feedback 3,ergonomics 1,ergonomics 2,ergonomics 3,physical demands 1,physical demands 2,physical demands 3,work conditions 1,work conditions 2,work conditions 3,work conditions 4,work conditions 5,equipment use 1,equipment use 2,equipment use 3,Unique questions for URE
Fake Case 10,9,17,4,4,1,3,8,8,0,0,1,4,1,2,1,3,2,3,2,3,7,7,6,2,6,7,6,5,2,5,4,5,2,5,4,4,4,6,4,4,2,4,3,4,5,7,7,4,5,4,4,3,3,5,5,4,4,1,1,2,4,1,4,4,5,6,7,6,7,4,5,4,4,4,3,2,2,2,2,1,1,1,4,4,4,1,7,1,5,5,5,3,3,3,2,
Fake Case 11,9,23,5,0,3,0,7,7,0,0,1,4,2,2,2,4,3,4,6,4,4,7,7,7,4,7,7,6,6,2,5,6,3,6,4,4,6,4,5,2,5,5,4,5,6,7,4,5,6,6,4,4,4,6,6,5,5,2,2,4,3,2,2,4,6,7,7,7,7,5,6,4,4,3,4,3,3,3,3,2,2,2,4,5,5,4,7,1,6,6,6,1,4,7,4,
Fake Case 12,0,2,4,1,1,0,6,5,4,6,7,1,6,1,2,2,7,1,6,1,1,2,4,7,4,4,4,3,3,3,2,3,1,3,4,1,3,2,2,2,2,2,1,2,3,4,4,2,3,3,4,1,1,3,3,2,2,1,4,1,1,2,1,2,4,4,4,4,4,2,4,3,1,1,2,1,4,1,1,1,1,4,2,2,2,1,4,4,3,1,3,1,7,4,1,
Fake Case 13,10,28,5,1,1,3,5,7,1,2,2,5,1,6,4,3,2,4,6,2,2,6,7,7,7,7,4,7,5,5,5,2,4,4,4,3,7,6,3,4,4,4,7,4,4,7,7,6,7,6,4,4,3,5,7,6,4,4,1,1,4,1,1,2,4,4,3,6,7,4,5,4,7,2,2,7,4,7,2,1,2,1,1,7,1,6,7,4,5,7,1,7,4,3,2,
Fake Case 14,0,2,2,1,0,3,4,8,2,5,7,0,1,2,7,6,4,4,2,6,6,6,6,6,7,6,6,4,5,5,4,5,2,5,4,3,5,2,4,4,4,4,3,4,5,3,7,4,5,5,4,3,4,5,6,4,4,1,1,1,4,4,1,4,4,4,7,6,3,3,5,4,2,2,2,2,2,2,2,2,1,1,4,4,4,6,7,6,4,5,5,4,3,3,2,
Fake Case 15,14,1,1,0,1,2,3,4,2,1,0,8,2,3,2,4,4,4,4,4,6,7,7,7,7,7,7,6,5,6,4,6,5,2,5,2,6,3,5,3,3,4,4,5,3,7,7,5,6,6,5,4,4,6,6,5,4,2,2,4,3,2,4,5,6,2,4,7,3,3,6,2,4,3,4,2,2,2,2,2,2,2,5,5,5,7,7,7,4,6,4,4,4,4,3,
Fake Case 16,15,23,4,0,1,3,0,4,5,1,8,3,1,1,1,1,4,4,7,4,1,4,4,4,4,5,7,5,3,4,2,3,1,5,2,5,3,4,2,2,3,3,3,2,3,4,4,2,3,6,6,6,6,3,4,2,2,1,1,1,1,1,1,2,3,4,2,4,4,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,3,4,3,1,1,1,1,
Fake Case 17,15,9,2,1,0,3,0,3,0,6,6,1,4,3,2,4,6,4,3,4,4,4,7,7,7,7,7,7,7,6,4,6,3,2,5,5,6,7,5,5,5,3,4,5,6,7,7,5,6,6,5,4,4,4,6,5,4,2,2,2,3,2,2,5,6,2,4,7,4,5,6,5,4,3,4,3,3,4,4,2,2,2,5,5,5,7,7,7,4,6,4,4,4,4,3,
Fake Case 18,17,24,5,0,1,2,2,2,3,0,3,4,4,1,4,1,4,1,7,1,1,4,4,4,4,7,4,3,3,7,2,3,1,3,2,2,3,4,2,2,2,4,1,2,3,4,4,2,3,3,2,1,1,3,4,2,2,1,1,1,1,1,1,2,3,4,2,4,4,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,3,4,3,1,1,1,1,
Fake Case 19,20,6,3,1,1,0,4,1,8,3,4,4,1,4,1,3,1,3,2,1,3,1,6,7,1,7,1,5,1,5,7,5,2,1,4,3,1,6,4,1,4,1,3,4,1,7,7,1,5,5,1,3,1,5,5,1,4,1,1,1,2,1,1,4,1,6,7,1,7,4,1,4,3,1,3,2,1,2,2,1,1,1,1,4,4,1,7,6,1,5,5,1,3,3,7,
Fake Case 20,21,17,1,2,1,2,6,7,8,0,4,6,3,2,1,3,6,6,2,3,3,7,6,6,7,7,6,5,5,6,5,7,2,5,4,4,5,6,4,4,2,2,1,4,5,7,7,2,3,5,4,3,3,5,5,2,3,1,1,1,2,4,5,4,5,6,6,6,7,4,5,4,3,3,2,2,2,2,5,1,1,5,4,5,4,6,6,6,5,5,5,4,3,3,7,
Fake Case 21,21,3,5,4,4,2,4,0,6,0,8,5,2,4,2,6,3,4,5,4,4,6,7,7,7,7,7,6,6,6,5,7,3,6,4,4,3,7,5,2,5,5,4,1,6,2,2,5,6,3,5,4,4,2,2,5,5,3,2,2,4,2,2,5,6,6,7,7,6,5,6,5,3,3,4,3,3,5,3,5,5,2,5,5,4,7,7,5,6,6,3,4,7,4,3,
Fake Case 22,22,26,4,5,1,2,7,5,7,7,5,8,1,1,5,3,0,1,2,5,5,3,4,4,4,4,7,6,3,3,2,2,7,4,1,1,0,3,3,3,2,2,1,2,1,-1,-1,2,3,1,3,1,1,2,2,2,2,1,3,4,1,1,1,2,5,3,4,4,3,5,5,4,0,1,1,1,4,1,1,1,6,1,2,2,1,4,4,2,4,2,0,7,2,1,6,
Fake Case 23,0,28,0,4,3,1,6,4,7,6,4,3,3,2,1,3,6,6,2,3,3,7,6,6,7,7,6,5,5,6,5,5,2,7,4,4,5,6,4,4,2,2,1,4,5,7,7,2,3,5,4,3,3,5,5,2,3,1,1,1,2,4,5,4,5,6,6,6,7,4,5,4,3,3,2,2,2,2,5,1,1,5,4,5,4,6,6,6,5,5,7,4,3,3,2,
Fake Case 24,23,3,1,5,1,1,4,6,4,5,6,7,4,2,1,4,2,3,4,3,4,7,6,4,6,7,4,5,5,4,4,5,4,5,7,3,5,6,4,4,4,4,3,4,5,7,4,4,5,4,4,3,4,5,4,4,4,4,1,1,4,1,1,4,5,6,4,6,7,4,5,4,3,2,4,2,2,4,2,1,4,1,4,4,4,4,7,4,5,4,7,3,4,4,2,
Fake Case 25,25,6,3,2,0,2,8,7,6,2,3,7,6,2,1,6,2,6,2,3,6,7,6,6,6,6,6,5,6,5,4,6,2,6,4,7,6,6,6,4,4,6,3,4,6,7,6,2,5,6,4,3,6,5,5,6,4,2,1,1,6,1,6,4,5,6,7,6,7,4,6,4,3,6,3,2,6,2,2,6,1,1,6,4,4,6,7,6,7,7,5,6,3,3,6,
